資料基準年度,產業別,市場,臺灣對該市場出口額USD千美元,臺灣對該市場出口額排名,市場成長率%,市場占比%
106,鞋、帽及其他飾品,美國,99432,1,5.61,25.63
106,鞋、帽及其他飾品,中國大陸,64080,2,18.08,16.52
106,鞋、帽及其他飾品,日本,35826,3,-6.21,9.23
106,鞋、帽及其他飾品,越南,34804,4,-9.45,8.97
106,鞋、帽及其他飾品,香港,25860,5,1.67,6.67
106,鞋、帽及其他飾品,泰國,10690,6,-14.49,2.76
106,鞋、帽及其他飾品,印尼,10005,7,-3.66,2.58
106,鞋、帽及其他飾品,荷蘭,8166,8,100.54,2.1
106,鞋、帽及其他飾品,英國,8135,9,-5.06,2.1
106,鞋、帽及其他飾品,加拿大,7629,10,6,1.97
106,鞋、帽及其他飾品,德國,7431,11,-0.15,1.92
106,鞋、帽及其他飾品,比利時,6923,12,-12.32,1.78
106,鞋、帽及其他飾品,新加坡,5646,13,-7.47,1.46
106,鞋、帽及其他飾品,義大利,5331,14,-19.91,1.37
106,鞋、帽及其他飾品,澳大利亞,4903,15,-9.12,1.26
106,鞋、帽及其他飾品,菲律賓,4733,16,-5.21,1.22
106,鞋、帽及其他飾品,法國,4421,17,-24.77,1.14
106,鞋、帽及其他飾品,柬埔寨,3907,18,3.63,1.01
106,鞋、帽及其他飾品,西班牙,3619,19,-6.82,0.93
106,鞋、帽及其他飾品,南韓,2883,20,-5.35,0.74
106,鞋、帽及其他飾品,印度,2576,21,-18.04,0.66
106,鞋、帽及其他飾品,馬來西亞,2462,22,20.8,0.63
106,鞋、帽及其他飾品,俄羅斯,2360,23,-11.28,0.61
106,鞋、帽及其他飾品,孟加拉,1841,24,15.06,0.47
106,鞋、帽及其他飾品,阿拉伯聯合大公國,1807,25,55.37,0.47
106,鞋、帽及其他飾品,南非,1551,26,-4.73,0.4
106,鞋、帽及其他飾品,瑞士,1448,27,43.51,0.37
106,鞋、帽及其他飾品,墨西哥,1381,28,-22.68,0.36
106,鞋、帽及其他飾品,瑞典,1252,29,-37.18,0.32
106,鞋、帽及其他飾品,巴西,1241,30,9.24,0.32
106,鞋、帽及其他飾品,捷克,1203,31,45.29,0.31
106,鞋、帽及其他飾品,烏拉圭,909,32,888.04,0.23
106,鞋、帽及其他飾品,澳門,877,33,132.63,0.23
106,鞋、帽及其他飾品,紐西蘭,876,34,2.22,0.23
106,鞋、帽及其他飾品,智利,857,35,-10.45,0.22
106,鞋、帽及其他飾品,以色列,788,36,21.42,0.2
106,鞋、帽及其他飾品,緬甸,733,37,20.56,0.19
106,鞋、帽及其他飾品,波蘭,665,38,22.47,0.17
106,鞋、帽及其他飾品,奧地利,636,39,-15.65,0.16
106,鞋、帽及其他飾品,秘魯,548,40,-36.43,0.14
106,鞋、帽及其他飾品,阿根廷,523,41,-48.93,0.13
106,鞋、帽及其他飾品,其他大洋洲國家,460,42,-9.98,0.12
106,鞋、帽及其他飾品,芬蘭,447,43,-4.89,0.12
106,鞋、帽及其他飾品,立陶宛,375,44,12.61,0.1
106,鞋、帽及其他飾品,丹麥,374,45,-8.78,0.1
106,鞋、帽及其他飾品,哥倫比亞,354,46,-16.51,0.09
106,鞋、帽及其他飾品,瓜地馬拉,314,47,85.8,0.08
106,鞋、帽及其他飾品,巴拿馬,303,48,11.81,0.08
106,鞋、帽及其他飾品,沙烏地阿拉伯,277,49,-27.3,0.07
106,鞋、帽及其他飾品,斯里蘭卡,266,50,-34,0.07
106,鞋、帽及其他飾品,馬爾地夫,195,51,-11.36,0.05
106,鞋、帽及其他飾品,薩爾瓦多,190,52,71.17,0.05
106,鞋、帽及其他飾品,關島,172,53,-3.91,0.04
106,鞋、帽及其他飾品,挪威,163,54,-59.95,0.04
106,鞋、帽及其他飾品,土耳其,142,55,-44.96,0.04
106,鞋、帽及其他飾品,烏克蘭,139,56,16.81,0.04
106,鞋、帽及其他飾品,波多黎各,137,57,21.24,0.04
106,鞋、帽及其他飾品,葡萄牙,137,57,-18.45,0.04
106,鞋、帽及其他飾品,伊朗,125,58,-46.12,0.03
106,鞋、帽及其他飾品,科威特,111,59,52.05,0.03
106,鞋、帽及其他飾品,馬紹爾群島共和國,110,60,-32.52,0.03
106,鞋、帽及其他飾品,希臘,109,61,-18.05,0.03
106,鞋、帽及其他飾品,匈牙利,104,62,-27.27,0.03
106,鞋、帽及其他飾品,巴拉圭,103,63,21.18,0.03
106,鞋、帽及其他飾品,衣索比亞,96,64,220,0.02
106,鞋、帽及其他飾品,千里達及托巴哥,95,65,9.2,0.02
106,鞋、帽及其他飾品,斯洛維尼亞,94,66,2.17,0.02
106,鞋、帽及其他飾品,巴布亞紐幾內亞,87,67,4.82,0.02
